account_id,created_at,seat_role,is_workspace_owner,signup_source,country,created_by_admin,email_domain,plan,mrr
acc_980819868885,2026-05-08T15:46:16Z,admin,false,(organic),SG,false,ridgetech.co.uk,free,0
acc_55299f40780f,2026-05-11T18:21:32Z,agent,false,(organic),NL,false,icloud.com,free,0
acc_fa9c0481ff64,2026-02-26T17:55:34Z,owner,true,(organic),IN,false,summitpartners.com,free,0
acc_98bf27470cea,2026-03-03T11:02:27Z,owner,true,q3-search,US,false,lumenio.com,free,0
acc_e9fa2ce09293,2026-06-05T09:51:29Z,agent,false,(organic),NL,false,brightsolutions.co,free,0
acc_3cc6deca5a71,2026-05-30T20:44:57Z,admin,false,(organic),US,false,icloud.com,free,0
acc_c9652d44dc50,2026-07-28T10:12:27Z,admin,false,(organic),ES,false,kestrelsolutions.com,free,0
acc_be848e3726c7,2026-03-11T02:31:27Z,agent,false,(organic),NL,false,icloud.com,free,0
acc_cf90d29eb271,2026-02-25T18:50:29Z,agent,false,q3-search,GB,false,copperworks.de,free,0
acc_75aa48052611,2026-04-07T17:27:51Z,admin,false,q3-search,IN,false,brightio.de,free,0
acc_922c44f98eaf,2026-04-02T21:18:31Z,admin,false,partner-directory,CA,false,verano-software.nl,free,0
acc_9b77cfa11876,2026-05-14T10:10:42Z,agent,false,(organic),BR,false,nimbuspartners.ai,free,0
acc_a965cc4c2575,2026-07-11T16:55:37Z,agent,false,(organic),SG,false,lattice-systems.com,free,0
acc_c9c645973af0,2026-05-21T10:02:23Z,agent,false,partner-directory,AU,false,atlas-labs.net,free,0
acc_5b87b3db889c,2026-02-28T12:27:28Z,admin,false,partner-directory,US,false,solaceapp.io,free,0
acc_bd6e78cd0bec,2026-04-22T09:14:27Z,agent,false,(organic),GB,false,alpinestudio.io,free,0
acc_d4ae31e4ee93,2026-02-09T11:14:53Z,owner,true,(organic),GB,false,alpine-studio.de,free,0
acc_93c4e14da71e,2026-04-26T13:55:15Z,owner,true,partner-directory,CA,false,icloud.com,team,149
acc_f8ca9214180a,2026-06-05T10:47:58Z,admin,false,partner-directory,IE,false,outlook.com,free,0
acc_d530cad439f9,2026-04-23T11:55:48Z,agent,false,q3-search,PL,false,vertex-systems.co.uk,free,0
acc_1e3189db811b,2026-03-02T17:24:09Z,owner,true,q3-search,IN,false,icloud.com,free,0
acc_2250cd601f36,2026-06-07T01:35:14Z,agent,false,(organic),US,false,ridge-solutions.net,free,0
acc_d50512cb44e1,2026-07-05T07:29:01Z,owner,true,docs,DE,false,icloud.com,free,0
acc_a61c7ec9e911,2026-04-06T09:58:49Z,admin,false,(organic),US,false,basillabs.com,free,0
acc_20a0927e1bf8,2026-04-14T22:27:40Z,agent,false,q3-search,GB,false,ridge-tech.nl,free,0
acc_61c3e5210d66,2026-07-19T14:16:44Z,agent,false,(direct),US,false,verano-hq.net,free,0
acc_118a526ba640,2026-02-25T13:41:26Z,admin,false,partner-directory,ES,false,yahoo.com,free,0
acc_c4b4566f2528,2026-02-27T13:09:04Z,agent,false,(direct),SE,false,orbit-studio.com,free,0
acc_6ed6e3d59eff,2026-02-17T19:21:07Z,agent,false,(direct),PL,false,bright-app.nl,free,0
acc_dcd42946e199,2026-02-24T09:48:07Z,agent,false,(organic),IN,false,brightio.de,free,0
acc_ec56a910cac5,2026-07-18T14:14:12Z,agent,false,partner-directory,BR,false,latticedigital.nl,free,0
acc_ddc4c9517172,2026-03-28T17:04:19Z,admin,false,q3-search,FR,false,atlascloud.com,free,0
acc_1918fdf3f755,2026-04-12T20:16:34Z,admin,false,(direct),US,false,onyxdigital.de,free,0
acc_62eeef33f179,2026-05-24T04:46:58Z,agent,false,(organic),US,false,yahoo.com,free,0
acc_2c46e74cbd9a,2026-02-22T20:21:18Z,agent,false,q3-search,US,false,yahoo.com,free,0
acc_698bcd78d697,2026-03-21T13:55:34Z,admin,false,(organic),CA,false,icloud.com,free,0
acc_03de5bfb4305,2026-07-15T15:02:07Z,admin,false,docs,US,false,north-io.co,free,0
acc_baf81725a0e6,2026-03-17T22:34:24Z,agent,false,(organic),US,false,yahoo.com,free,0
acc_c1146ea513c6,2026-07-20T13:55:33Z,agent,false,(organic),IE,false,atlascloud.com,free,0
acc_65a3e349e465,2026-02-15T08:55:03Z,agent,false,docs,AU,false,forgesolutions.net,free,0
acc_72bd7f1efba6,2026-04-19T08:11:17Z,agent,false,q3-search,US,false,gmail.com,free,0
acc_3f541333e422,2026-03-13T15:04:49Z,agent,false,(organic),NL,false,proton.me,free,0
acc_52ec180ca7bf,2026-06-06T10:50:22Z,agent,false,(organic),SG,false,outlook.com,free,0
acc_0957c0940ab1,2026-02-08T12:49:24Z,agent,false,(organic),CA,false,kestrelsoftware.com,free,0
acc_2c881638eb5c,2026-06-06T23:47:34Z,owner,true,docs,US,false,ridge-group.nl,free,0
acc_ef89e4105d8c,2026-07-21T10:49:18Z,owner,true,(direct),IN,false,proton.me,free,0
acc_223f14f5f62f,2026-07-18T18:23:09Z,admin,false,(direct),GB,false,gmail.com,free,0
acc_5f911fbac538,2026-03-17T10:16:01Z,owner,true,partner-directory,AU,false,outlook.com,free,0
acc_c4084621f98d,2026-06-28T18:22:50Z,agent,false,(organic),US,false,stacktech.ai,free,0
acc_bf88268bffb5,2026-06-08T10:00:25Z,admin,false,(direct),DE,false,vertexworks.co,free,0
acc_0a0b60bcbc56,2026-05-24T14:26:21Z,admin,false,(organic),ES,false,hotmail.com,free,0
acc_ccddc704c7f7,2026-05-28T07:42:14Z,agent,false,q3-search,US,false,marlowio.de,free,0
acc_34ae812d1201,2026-06-23T18:49:55Z,owner,true,docs,GB,false,gmail.com,free,0
acc_39f4aae2a071,2026-04-08T10:46:09Z,owner,true,partner-directory,FR,false,icloud.com,free,0
acc_6f7876854450,2026-06-29T10:30:01Z,admin,false,q3-search,CA,false,hotmail.com,free,0
