recording_id,user_pseudo_id,started_at,duration_s,page_views,clicks,dead_clicks,rage_clicks,screen_width,screen_height,country,user_agent
f5c2ce2a556a,8659480843.6698737377,2026-04-03T06:39:00Z,635,7,47,0,0,1536,900,IN,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
c25440fa6e91,3329743352.5728735117,2026-05-23T01:33:00Z,317,8,8,0,0,1728,1117,GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
3ce34e9ea4a6,3566315962.6202170466,2026-02-16T14:06:00Z,198,9,30,0,0,1366,768,BR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
ed1dd3893fd7,8841125786.6899055484,2026-05-21T23:43:00Z,97,5,6,0,0,1536,768,AU,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
b20fe49e1cdd,6206952204.156598235,2026-04-03T10:56:00Z,715,2,20,0,0,1536,900,US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
ee754e988ed4,3228999056.5999985081,2026-03-09T09:00:00Z,409,5,35,0,0,412,915,GB,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36"
a9757772bf9f,3578234347.4855378543,2026-07-28T11:39:00Z,1,1,0,0,0,1024,600,NL,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/127.0.6533.88 Safari/537.36"
879f206a13c5,2344494267.5943034282,2026-04-22T06:18:00Z,732,11,34,0,0,1440,768,SG,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0
b9156f47af7b,4314183494.8008459835,2026-06-20T20:43:00Z,393,10,39,0,0,834,1112,DE,"Mozilla/5.0 (iPad; CPU OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
5ec2cf33a1c8,5740661346.6884119120,2026-06-25T10:56:00Z,61,2,2,0,0,375,844,NL,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBAV/492.0.0.44.107]"
f03e49b87247,8002979182.5312532045,2026-06-01T07:37:00Z,851,8,51,0,0,1920,1117,FR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15"
b0f91c5fff5a,7730515042.650063072,2026-05-14T09:37:00Z,514,10,18,0,0,1728,1080,US,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
b68924f6117c,9909913444.9296298604,2026-05-31T05:48:00Z,1,1,0,0,0,1280,768,US,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/126.0.6478.126 Safari/537.36"
ad78a7bfb191,956931519.5025462756,2026-02-17T12:57:00Z,126,3,25,0,0,1366,1080,US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
b48c59233ce5,9692988155.2054693370,2026-04-12T16:29:00Z,479,11,24,0,0,430,812,IE,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1"
4757c473f0fb,7093200019.6766601026,2026-05-31T18:34:00Z,583,5,27,0,0,1920,900,SG,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15"
37fa40100d27,3944664622.6353906236,2026-07-11T22:18:00Z,3,1,0,0,0,800,768,SG,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/126.0.6478.126 Safari/537.36"
